Effect List,Effect List,Effect,Effect,Effect,Effect,Effect,Effect,Effect,Effect,,,,,
994,BUFF_ORC_HealLevel2,941,,,,,,,,,,,,
995,IMPACT_ORC_LifeDrain,942,,,,,,,,,,,,
996,IMPACT_DragonTalon_Small,943,,,,,,,,,,,,
997,CAST_ORC_CastFinish,944,,,,,,,,,,,,
998,Battle_Recall,945,,,,,,,,,,,,
999,DOT_StormofRavens,946,,,,,,,,,,,,
;,State effects 1000-1024,,,,,,,,,,,,,
1025,Vfx_Weapontrail_disciple01,947,1068,,,,,,,,,,,
1026,Vfx_Weapontrail_disciple02,948,1069,,,,,,,,,,,
1027,vfx_cast_Weapon01,949,,,,,,,,,,,,
1028,vfx_cast_Weapon02,950,,,,,,,,,,,,
1029,HEAL_HE_LowLevel,951,,,,,,,,,,,,
1030,HEAL_HE_MidLevel,952,,,,,,,,,,,,
1031,HEAL_HE_Regen,953,,,,,,,,,,,,
1032,CAST_HE_LightLance,954,,,,,,,,,,,,
1033,IMPACT_HE_LightLance,955,,,,,,,,,,,,
1034,IMPACT_DE_Black_Dark,956,,,,,,,,,,,,
1035,IMPACT_DE_Red_Dark,957,,,,,,,,,,,,
;,1036,,,,,,,,,,,,,
1037,BUFF_DE_Willpower,959,,,,,,,,,,,,
;,1038,,,,,,,,,,,,,
;,1039,,,,,,,,,,,,,
1040,BUF_WE_HealLevel2,962,,,,,,,,,,,,
1041,HEAL_DE_Regen,963,,,,,,,,,,,,
1042,PtoP_HE_LightLance,964,1016,1017,,,,,,,,,,
1043,CAST_BUILD_BodyLight,965,,,,,,,,,,,,
1044,CAST_BUILD_Staff,966,,,,,,,,,,,,
1045,DEBUFF_HE_INT&BS,967,,,,,,,,,,,,
;,1046,,,,,,,,,,,,,
1047,DE_buildup_cast01,969,,,,,,,,,,,,
1048,DE_buildup_cast02,970,,,,,,,,,,,,
1049,DE_speed_DeBuff,971,,,,,,,,,,,,
;,1050,,,,,,,,,,,,,
;,1051,,,,,,,,,,,,,
;,1052,,,,,,,,,,,,,
;,1053,,,,,,,,,,,,,
1054,DE_Buff_Toughness,976,,,,,,,,,,,,
;,1055,,,,,,,,,,,,,
1056,DE_Buff_Generic,978,,,,,,,,,,,,
1057,BUFF_HE_DefenseCrystal,979,,,,,,,,,,,,
;,1058,,,,,,,,,,,,,
1059,IMPACT_DE_big01,981,,,,,,,,,,,,
;,1060,,,,,,,,,,,,,
1061,DE_Resurrection,983,,,,,,,,,,,,
;,1062,,,,,,,,,,,,,
1063,DE_DeBuff_LifeTap,985,,,,,,,,,,,,
1064,BUFF_HE_PrismaticSheild,986,,,,,,,,,,,,
;,1065,,,,,,,,,,,,,
1066,AOE_HEAL_HE_GroupHeal,988,,,,,,,,,,,,
1067,BUFF_HE_Weaponskill,989,,,,,,,,,,,,
1068,DEBUFF_HE_WindDoT,990,,,,,,,,,,,,
1069,PROJ_HE_ManaOrb,991,992,,,,,,,,,,,
1070,AOE_HE_MistressoftheMarsh,993,,,,,,,,,,,,
1071,DE_AOE03,994,,,,,,,,,,,,
1072,DE_AOE02,995,,,,,,,,,,,,
;,1073,,,,,,,,,,,,,
;,1074,,,,,,,,,,,,,
1075,PtoP_DE_Energy01,998,,,,,,,,,,,,
1076,DE_DeBuff_Terror,999,,,,,,,,,,,,
1077,DE_Impact_Lacerate,1001,1065,,,,,,,,,,,
1078,AOE_HE_ToughnessDebuff,1003,,,,,,,,,,,,
1079,DEBUFF_HE_Toughness,1004,,,,,,,,,,,,
;,1080,,,,,,,,,,,,,
1081,DEBUFF_HE_APDebuff,1006,,,,,,,,,,,,
;,1082,,,,,,,,,,,,,
1083,DE_Cast_SelfSacrafice,1008,1064,,,,,,,,,,,
1084,BUFF_HE_RemoveDebuff,1009,,,,,,,,,,,,
;,1085,,,,,,,,,,,,,
;,1086,,,,,,,,,,,,,
;,1087,,,,,,,,,,,,,
;,1088,,,,,,,,,,,,,
1089,DE_DBUF_Silence,1014,,,,,,,,,,,,
1090,DE_AOE_Scroll,1015,,,,,,,,,,,,
1091,DBUFF_CritTaken_Up,1018,,,,,,,,,,,,
;,1092,,,,,,,,,,,,,
1093,CAST_Heaven_Hand,1019,,,,,,,,,,,,
1094,DEBUFF_HE_RainlordCloud,1020,,,,,,,,,,,,
;,1095,,,,,,,,,,,,,
1096,DE_buildup_AOE,1022,,,,,,,,,,,,
1097,vfx_BUFF_GEN_Armor,1023,,,,,,,,,,,,
;,1098,,,,,,,,,,,,,
1099,vfx_BUFF_GEN_Corporeal,1025,,,,,,,,,,,,
;,1100,,,,,,,,,,,,,
;,1101,,,,,,,,,,,,,
1102,vfx_BUFF_GEN_Elemental,1028,,,,,,,,,,,,
;,1103,,,,,,,,,,,,,
1104,vfx_BUFF_GEN_Spirit,1030,,,,,,,,,,,,
1105,vfx_DeBUFF_GEN_Armor,1031,,,,,,,,,,,,
;,1106,,,,,,,,,,,,,
;,1107,,,,,,,,,,,,,
;,1108,,,,,,,,,,,,,
;,1109,,,,,,,,,,,,,
;,1110,,,,,,,,,,,,,
;,1111,,,,,,,,,,,,,
1112,vfx_DeBUFF_GEN_Spirit,1038,,,,,,,,,,,,
;,1113,,,,,,,,,,,,,
;,1114,,,,,,,,,,,,,
;,1115,,,,,,,,,,,,,
;,1116,,,,,,,,,,,,,
;,1117,,,,,,,,,,,,,
;,1118,,,,,,,,,,,,,
;,1119,,,,,,,,,,,,,
;,1120,,,,,,,,,,,,,
;,1121,,,,,,,,,,,,,
;,1122,,,,,,,,,,,,,
;,1123,,,,,,,,,,,,,
1124,vfx_POTION_r3_HoT_green,1050,,,,,,,,,,,,
1125,AOE_HE_BombardmentFlare,1051,,,,,,,,,,,,
;,1126,,,,,,,,,,,,,
1127,DE_AOE_Heal01,1054,,,,,,,,,,,,
1128,de_buff__FIG_strength,1055,,,,,,,,,,,,
;,1129,,,,,,,,,,,,,
1130,DE_Heal_twinks,1057,,,,,,,,,,,,
1131,DE_Heal_Low,1058,,,,,,,,,,,,
1132,DE_Heal_Med,1059,,,,,,,,,,,,
1133,DE_HEAL_Regen,1060,,,,,,,,,,,,
1134,IMPACT_HE_LawofGold,1061,,,,,,,,,,,,
1135,IMPACT_HE_SearingTouch,1062,,,,,,,,,,,,
1136,ATK_HE_FuryofAsuryan,1063,,,,,,,,,,,,
1137,DE_impact_slash_vert,1002,,,,,,,,,,,,
1138,DE_buildup_aoe_cast,1066,,,,,,,,,,,,
1139,BUFF_HE_Absorbshield,1067,,,,,,,,,,,,
1140,cast_offhand_splash,1070,,,,,,,,,,,,
1141,PROJ_TorchTrow,1071,,,,,,,,,,,,
1142,IMPACT_TorchFire,1072,,,,,,,,,,,,
1143,HE_CAST_Buildup_Hand,1073,,,,,,,,,,,,
1144,Vfx_Weapontrail_disciple_01_Mainhand,948,,,,,,,,,,,,
1145,Vfx_Weapontrail_disciple_02_Mainhand,1069,,,,,,,,,,,,
1146,PROJ_SCN_BlueOrb,1074,,,,,,,,,,,,
1147,CAST_SCN_LightFlash,1075,,,,,,,,,,,,
1148,BUFF_WE_FADE,1076,,,,,,,,,,,,
1149,BUFF_WE_SnareBreak,1077,,,,,,,,,,,,
;,1150,,,,,,,,,,,,,
;,1151,,,,,,,,,,,,,
1152,impact_WitchElf_BS,1080,,,,,,,,,,,,
1153,MEZ_Generic,1081,,,,,,,,,,,,
;,1154,,,,,,,,,,,,,
1155,Impact_WE_Severlimb,1085,,,,,,,,,,,,
1156,Impact_WE_Enfeeble,1086,,,,,,,,,,,,
1157,Impact_WE_Envenomed,1087,,,,,,,,,,,,
1158,Impact_WE_WrackingPain,1088,,,,,,,,,,,,
1159,DeBUFF_DE_Ini_WS,1089,,,,,,,,,,,,
1160,DeBuff_WE_Toughness,1090,,,,,,,,,,,,
;,1161,,,,,,,,,,,,,
1162,Impact_WE_Assault,1092,,,,,,,,,,,,
1163,Impact_Poison_MP,1097,,,,,,,,,,,,
;,1164,,,,,,,,,,,,,
;,1165,,,,,,,,,,,,,
1166,DE_AOE_UmbralStrikes,1100,,,,,,,,,,,,
1167,DE_ATK_DarkColumn,1101,,,,,,,,,,,,
1168,DE_BUFF_ShardShield,1102,,,,,,,,,,,,
1169,DE_BUILD_CastingHand,1103,,,,,,,,,,,,
1170,DE_BUILD_CastingRing,1104,,,,,,,,,,,,
1171,DE_IMPACT_ShardShield1,1105,,,,,,,,,,,,
1172,DE_PROJ_DoomBolt,1106,,,,,,,,,,,,
1173,DE_DEBUFF_DarkSpirits,1107,,,,,,,,,,,,
1174,DE_AOE_ShardShield,1108,,,,,,,,,,,,
1175,DeBUFF_Tactic_AP,1109,,,,,,,,,,,,
1176,Buff_WE_Strength,1110,,,,,,,,,,,,
1177,Cast_WE_base,1111,,,,,,,,,,,,
1178,SunFireBreath_Buildup,1112,,,,,,,,,,,,
1179,CONE_SunFireBreath,1113,,,,,,,,,,,,
1180,IMPACT_SunFireExplo_Large,1114,,,,,,,,,,,,
1181,PROJ_SunDrag_Fireball,1115,,,,,,,,,,,,
1182,SunFireBreath_Linger,1116,,,,,,,,,,,,
1183,SunDrag_Claw,1117,,,,,,,,,,,,
1184,SunDrag_Stomp,1118,914,,,,,,,,,,,
1185,ROOT_IceBlockDark,1119,,,,,,,,,,,,
1186,DE_CAST_Activate,1120,,,,,,,,,,,,
1187,AOE_WE_BladeSpin,1121,,,,,,,,,,,,
1188,Stage_Complete,1122,,,,,,,,,,,,
1189,DE_ATK_Chillwind,1123,,,,,,,,,,,,
1190,DE_Cast_Chillwind,1124,,,,,,,,,,,,
;,1191,,,,,,,,,,,,,
1192,IMPACT_SunDrag_Bite,1126,,,,,,,,,,,,
1193,PROJ_SunDrag_FireballSml,1127,,,,,,,,,,,,
1194,CAST_SunFire,1128,,,,,,,,,,,,
1195,IMPACT_SunFireSml,1129,,,,,,,,,,,,
1196,IMPACT_HE_WordofPain,1130,,,,,,,,,,,,
;,1197,,,,,,,,,,,,,
1198,IMPACT_SunDrag_Claw,1132,,,,,,,,,,,,
1199,DE_Cast_WordofPain,1133,,,,,,,,,,,,
;,1200,,,,,,,,,,,,,
1201,BlackFire_Buildup,1135,,,,,,,,,,,,
1202,CAST_BlackFire,1136,,,,,,,,,,,,
1203,IMPACT_BlackFireExplo,1137,,,,,,,,,,,,
1204,IMPACT_BlackFireSml,1138,,,,,,,,,,,,
1205,PROJ_BlackDrag_Fireball,1139,,,,,,,,,,,,
1206,PROJ_SunDrag_Blackball_Sml,1140,,,,,,,,,,,,
1207,CONE_BlackFireBreath,1141,,,,,,,,,,,,
1208,BlackFireBreath_Linger,1142,,,,,,,,,,,,
;,1209,,,,,,,,,,,,,
1210,Impact_mek_Dbthrower_Un01,1144,,,,,,,,,,,,
;,1211,,,,,,,,,,,,,
1212,Impact_mek_Hbthrower_Un01,1146,,,,,,,,,,,,
1213,DE_IMPACT_ShatteredShadows,1147,,,,,,,,,,,,
1214,DE_DBUF_Focus,1148,,,,,,,,,,,,
1215,DE_CAST_Focus,1149,,,,,,,,,,,,
1216,DE_IMPACT_Miscast,1150,,,,,,,,,,,,
1217,DE_IMPACT_SearingPain,1151,,,,,,,,,,,,
1218,DE_LOOP_ShadowKnives,1152,,,,,,,,,,,,
1219,DE_PtoP_SurgingPain,1153,,,,,,,,,,,,
1220,BUFF_FADE_ShadowFade,1154,,,,,,,,,,,,
;,1221,,,,,,,,,,,,,
;,1222,,,,,,,,,,,,,
1223,DE_AOE_SurgingPain,1157,,,,,,,,,,,,
;,1224,,,,,,,,,,,,,
;,1225,,,,,,,,,,,,,
1226,DEBUF_FIG_StrickenLimbs,1160,,,,,,,,,,,,
1227,FIG_GHOST_generic,1161,,,,,,,,,,,,
1228,FIG_GHOST_Banshee,1162,,,,,,,,,,,,
1229,FIG_GHOST_SpiritHost,1163,,,,,,,,,,,,
1230,FIG_GHOST_Wraith,1164,,,,,,,,,,,,
1231,DE_ATK_CrystalSpikes,1165,,,,,,,,,,,,
1232,DE_LOOP_ChanneledAPRecover,1166,,,,,,,,,,,,
1233,PROJ_mek_Dbthrower01,1167,,,,,,,,,,,,
1234,Impact_Shield_Spell,1168,,,,,,,,,,,,
1235,BUFF_Shield_Spell,1169,,,,,,,,,,,,
1236,IMPACT_DE_Vital,1170,,,,,,,,,,,,
1237,PROJ_DE_VitalOrb,1171,1173,,,,,,,,,,,
1238,BUFF_FIG_Vital,1172,,,,,,,,,,,,
1239,DE_DEBUFF_StrickenVoices,1174,,,,,,,,,,,,
1240,temp_Pit of shades,581,,,,,,,,,,,,
1241,DE_CONE_Infernalwave,1175,,,,,,,,,,,,
1242,DE_CAST_Activate_Whisps,1176,,,,,,,,,,,,
1243,DE_AOE_Crystalshardsshatter,1177,,,,,,,,,,,,
1244,PROJ_DE_GloomNi,1178,,,,,,,,,,,,
1245,IMPACT_DE_GloomNi,1179,,,,,,,,,,,,
1246,BUILD_DE_GloomNi,1180,,,,,,,,,,,,
1247,PROP_HE_BaseArrow01,1181,,,,,,,,,,,,
1248,DE_PROJ_DoomBolt_Large,1182,,,,,,,,,,,,
1249,DE_DEBUFF_Cataclysmic Darkness,1183,,,,,,,,,,,,
1250,DE_DBUF_ImpendingDoom,1184,,,,,,,,,,,,
1251,IMPACT_DE_HandofRuin,1185,,,,,,,,,,,,
1252,PtoP_DE_HandofRuin,1186,,,,,,,,,,,,
1253,DE_DEBUFF_Blackhorror,1187,,,,,,,,,,,,
1254,DE_AOE_BlackHorror,1188,,,,,,,,,,,,
;,1255,,,,,,,,,,,,,
;,1256,,,,,,,,,,,,,
;,1257,,,,,,,,,,,,,
;,1258,,,,,,,,,,,,,
;,1259,,,,,,,,,,,,,
;,1260,,,,,,,,,,,,,
1261,PROJ_HE_BaseArrow01_straight,1195,,,,,,,,,,,,
1262,PROJ_HE_BaseArrow02_Lob,1196,,,,,,,,,,,,
1263,PROJ_HE_BaseArrow03_HighLob,1197,,,,,,,,,,,,
1264,PROJ_HE_DistractArrow01,1198,,,,,,,,,,,,
1265,PROJ_HE_AcidArrow01,1199,,,,,,,,,,,,
1266,PROJ_HE_ShadowArrow01,1200,,,,,,,,,,,,
1267,PROJ_HE_SpiralArrow01,1201,,,,,,,,,,,,
1268,PROJ_HE_FestArrow01,1202,,,,,,,,,,,,
1269,PROJ_HE_FlameArrow01,1203,,,,,,,,,,,,
1270,PROJ_HE_BaseArrow01_Headshot,1204,,,,,,,,,,,,
1271,PROJ_HE_BaseArrow01_Neckshot,1205,,,,,,,,,,,,
1272,AoE_RvR_BlastWaveReset,1206,,,,,,,,,,,,
1273,BUFF_HE_ScoutStance,1207,,,,,,,,,,,,
1274,BUFF_HE_AssaultStance,1208,,,,,,,,,,,,
1275,BUFF_HE_SkirmishStance,1209,,,,,,,,,,,,
1276,CAST_HE_ActivateEffect,1210,,,,,,,,,,,,
1277,Impact_HE_FestArrow01,1211,,,,,,,,,,,,
1278,Impact_HE_SpiralArrow01,1212,,,,,,,,,,,,
1279,Impact_HE_AcidArrow01,1213,,,,,,,,,,,,
1280,BUFF_HE_Vengence,1214,,,,,,,,,,,,
1281,AoE_HE_WhirlwindPinSwipe,1215,,,,,,,,,,,,
1282,ROOT_HE_WhirlwindPin,1216,,,,,,,,,,,,
;,1283,,,,,,,,,,,,,
1284,PROJ_HE_FellArrow01,1218,,,,,,,,,,,,
;,1285,,,,,,,,,,,,,
1286,PROJ_HE_GlassArrow01,1220,,,,,,,,,,,,
1287,IMPACT_Head,1221,,,,,,,,,,,,
1288,impact_Throat,1222,,,,,,,,,,,,
1289,DeBuff_HE_WeaponSkill,1223,,,,,,,,,,,,
1290,DeBuff_HE_Init,1224,,,,,,,,,,,,
;,1291,,,,,,,,,,,,,
1292,PROJ_HE_FlankArrow01,1226,,,,,,,,,,,,
;,1293,,,,,,,,,,,,,
1294,PROJ_HE_BarrageArrow01,1228,,,,,,,,,,,,
1295,AOE_HE_GlassArrow01,1229,,,,,,,,,,,,
1296,Impact_HE_GlassArrow01_small,1230,,,,,,,,,,,,
1297,Impact_HE_GlassArrow01,1231,,,,,,,,,,,,
1298,Impact_HE_BarrageArrow01,1232,,,,,,,,,,,,
1299,Impact_HE_FlankArrow01,1233,,,,,,,,,,,,
1300,Impact_HE_DistractArrow01,1234,,,,,,,,,,,,
1301,Impact_HE_ShadowArrow01,1235,,,,,,,,,,,,
1302,ATK_BurnSwirl,1236,,,,,,,,,,,,
1303,ATK_Burn_Status,1237,,,,,,,,,,,,
1304,LOOP_Smolder,1238,,,,,,,,,,,,
1305,vfx_ATK_BoilBlood,1239,,,,,,,,,,,,
1306,vfx_DoT_LOOP_BoilBlood,1240,,,,,,,,,,,,
1307,IMPACT_HE_SwiftStrkP1,1241,,,,,,,,,,,,
;,1308,,,,,,,,,,,,,
1309,IMPACT_HE_OppStrike,1243,,,,,,,,,,,,
1310,IMPACT_HE_GrimSlash,1244,,,,,,,,,,,,
1311,IMPACT_HE_DrawBlood,1245,,,,,,,,,,,,
1312,IMPACT_HE_BrutalAssault,1246,,,,,,,,,,,,
1313,IMPACT_Bleed,1247,,,,,,,,,,,,
1314,HE_CounterStrike,1248,,,,,,,,,,,,
1315,DISARM_HE_OppStrike,1249,1250,,,,,,,,,,,
1316,vfx_WeaponTrail_HE_GrimSlsh,1251,,,,,,,,,,,,
1317,vfx_WeaponTrail_HE_DrawBlood,1252,,,,,,,,,,,,
1318,vfx_WeaponTrail_HE_OppStrike,1253,,,,,,,,,,,,
1319,vfx_WeaponTrail_HE_SwftStrkP1,1254,1255,,,,,,,,,,,
1320,BUFF_FADE_Smokescreen,1256,,,,,,,,,,,,
1321,PROJ_EM_FireballSmall,1257,,,,,,,,,,,,
1322,ATK_EM_SearPillar,1258,,,,,,,,,,,,
;,1323,,,,,,,,,,,,,
1324,IMPACT_Orange Knockdown,1260,,,,,,,,,,,,
1325,vfx_PROJ_HE_LileathArrow,1261,,,,,,,,,,,,
1326,vfx_Impact_FIG_FellArrow,1262,1263,,,,,,,,,,,
;,1327,,,,,,,,,,,,,
1328,CONE_HE_SweepStrike ,1265,,,,,,,,,,,,
1329,IMPACT_HE_ExploitWeakness,1266,,,,,,,,,,,,
1330,HE_ExploitWeakness,1267,,,,,,,,,,,,
1331,vfx_WeaponTrail_HE_BrutalAssault,1268,,,,,,,,,,,,
1332,vfx_WeaponTrail_HE_ExploitWeakness,1269,,,,,,,,,,,,
1333,AOE_EM_ScorchEarth,1270,,,,,,,,,,,,
1334,Debuff_Chicken,1271,,,,,,,,,,,,
1335,ROOT_EM_FireCage,1272,,,,,,,,,,,,
1336,ATK_EM_IgniteKey,1273,1237,,,,,,,,,,,
1337,buff_Mutation_Quick,1274,1275,1276,,,,,,,,,,
1338,BUILD_EM_BWCastingRing,1277,,,,,,,,,,,,
1339,BUFF_EM_Favorablewind,1278,,,,,,,,,,,,
1340,LOOP_Burn_Status_Blue,1279,,,,,,,,,,,,
1341,vfx_Impact_Mutation_Splat,1280,,,,,,,,,,,,
;,1342,,,,,,,,,,,,,
1343,AOE_EM_GroupHeal,1282,,,,,,,,,,,,
1344,AOE_EM_Regen,1283,,,,,,,,,,,,
;,1345,,,,,,,,,,,,,
1346,BUILD_EM_HEAL_HammerGlow,1285,,,,,,,,,,,,
1347,EM_Heal_Low,1286,,,,,,,,,,,,
1348,EM_Heal_Med,1287,,,,,,,,,,,,
1349,ATK_FlameImpact_Blue,1288,,,,,,,,,,,,
1350,ATK_EM_FieryBlast,1289,,,,,,,,,,,,
1351,ATK_EM_PyroClasticSurge,1290,,,,,,,,,,,,
1352,DoT_EM_Boiling,1291,,,,,,,,,,,,
1353,ATK_EM_ChokingSmoke,1292,,,,,,,,,,,,
1354,BUFF_EM_ShieldofAqshy,1293,,,,,,,,,,,,
1355,vfx_CONE_EM_firebreath,1294,,,,,,,,,,,,
1356,vfx_Weapontrail_quick,1295,,,,,,,,,,,,
;,1357,,,,,,,,,,,,,
1358,vfx_Weapontrail_quick,1297,1295,,,,,,,,,,,
1359,CH_Heal_High,1298,,,,,,,,,,,,
1360,CH_AOE_Heal,1299,,,,,,,,,,,,
1361,CH_Heal_Regen,1300,,,,,,,,,,,,
1362,CH_Heal_Low,1301,,,,,,,,,,,,
1363,BUFF_EM_Purify,1302,,,,,,,,,,,,
;,1364,,,,,,,,,,,,,
1365,BUFF_ShieldofFaith_Impact,1304,,,,,,,,,,,,
1366,PtoP_CH_DarkLightning,1305,1306,1307,,,,,,,,,,
1367,FIG_DeBUFF_Rot,1308,1329,1394,,,,,,,,,,
;,1368,,,,,,,,,,,,,
1369,FIG_Cast_Draining,1310,,,,,,,,,,,,
1370,FIG_DeBUFF_Draining,1311,1363,,,,,,,,,,,
;,1371,,,,,,,,,,,,,
1372,FIG_DeBUFF_Palsy,1313,1329,1388,1389,,,,,,,,,
;,1373,,,,,,,,,,,,,
;,1374,,,,,,,,,,,,,
1375,AOE_EM_PrayerRighteousness,1316,,,,,,,,,,,,
1376,AOE_EM_PrayerAbsolution,1317,,,,,,,,,,,,
1377,AOE_EM_PrayerDevotion,1318,,,,,,,,,,,,
1378,BUFF_EM_PrayerAbsolution,1319,,,,,,,,,,,,
;,1379,,,,,,,,,,,,,
;,1380,,,,,,,,,,,,,
1381,AOE_CH_RitePulse_Red,1321,,,,,,,,,,,,
1382,AOE_CH_RitePulse_Blue,1322,,,,,,,,,,,,
1383,Impact_CH_Blunt,1325,,,,,,,,,,,,
1384,Impact_CH_Blunt_Small,1326,,,,,,,,,,,,
1385,FIG_CH_Warping,1327,,,,,,,,,,,,
1386,DBUF_CH_Electrify,1328,,,,,,,,,,,,
1387,Impact_CH_Green,1329,,,,,,,,,,,,
;,1388,,,,,,,,,,,,,
1389,CAST_LOOP_BWStaff,1331,,,,,,,,,,,,
1390,ATK_EM_Nova,1332,,,,,,,,,,,,
1391,DBUF_CH_Dispel,1333,,,,,,,,,,,,
1392,Buff_Remove_Effect,1334,,,,,,,,,,,,
1393,IMPACT_CH_Electrical,1335,,,,,,,,,,,,
1394,DeBUFF_DE_Parry_Block (OLD EFFECT),1336,,,,,,,,,,,,
1395,ATK_CH_TzeetchLash,1337,,,,,,,,,,,,
1396,ATK_CH_StormRavens,1338,,,,,,,,,,,,
1397,BUFF_EM_Repent,1339,,,,,,,,,,,,
1398,CAST_EM_Sigmar'sFist,1340,,,,,,,,,,,,
1399,CONE_EM_Smite,1341,,,,,,,,,,,,
1400,BUILD_EM_ChargeWeapon,1342,,,,,,,,,,,,
1401,CAST_EM_WeightofGuilt,1343,,,,,,,,,,,,
1402,IMPACT_EM_WeightofGuilt,1344,,,,,,,,,,,,
1403,vfx_WeaponTrail_EM_WeightofGuilt,1345,,,,,,,,,,,,
1404,vfx_WeaponTrail_EM_Smite,1346,,,,,,,,,,,,
;,1405,,,,,,,,,,,,,
1406,IMPACT_EM_Bludgeon,1348,1347,,,,,,,,,,,
1407,vfx_WeaponTrail_EM_Bludgeon,1349,,,,,,,,,,,,
1408,vfx_WeaponTrail_EM_DivineStrike,1350,,,,,,,,,,,,
1409,IMPACT_EM_DivineStrike,1351,,,,,,,,,,,,
1410,CAST_EM_DivineShock,1352,,,,,,,,,,,,
1411,CONE_CH_BreathofTzeentch,1353,,,,,,,,,,,,
1412,DBUF_CH_APDebuff,1354,,,,,,,,,,,,
1413,DEBUF_CH_MirrorofMadness,1355,,,,,,,,,,,,
;,1414,,,,,,,,,,,,,
1415,CAST_EM_HamerofSig_impactL,1357,,,,,,,,,,,,
1416,CAST_EM_HamerofSig_impactS,1358,1360,,,,,,,,,,,
1417,vfx_Buff_CH_01,1361,,,,,,,,,,,,
1418,vfx_Impact_CH_Chaos01_Red Black,1362,,,,,,,,,,,,
1419,vfx_Impact_CH_Chaos02_Purp Blue,1363,,,,,,,,,,,,
1420,vfx_Impact_CH_Chaos03_DarkPurp Red,1364,,,,,,,,,,,,
1421,vfx_Impact_CH_Chaos04_Red Purp,1365,,,,,,,,,,,,
1422,vfx_Impact_CH_Chaos05_Orange Red,1366,,,,,,,,,,,,
1423,vfx_Impact_CH_Chaos06_White Red Blue,1367,,,,,,,,,,,,
1424,vfx_Impact_CH_Chaos07_Purp Blue Red,1368,,,,,,,,,,,,
1425,vfx_Impact_CH_Chaos08_White Pink Blue,1369,,,,,,,,,,,,
1426,vfx_AOE_Chaos01,1370,,,,,,,,,,,,
1427,vfx_AOE_Chaos02,1371,,,,,,,,,,,,
1428,vfx_AOE_Chaos03,1372,,,,,,,,,,,,
1429,vfx_AOE_Chaos04,1373,,,,,,,,,,,,
1430,IMPACT_EM_SigmarsFist,1374,,,,,,,,,,,,
;,1431,,,,,,,,,,,,,
1432,BUILD_WP_Weapon&Body,1284,1285,,,,,,,,,,,
1433,Impact_CH_Throat,1376,,,,,,,,,,,,
1434,IMPACT_EM_SigmarsShield,1377,,,,,,,,,,,,
1435,vfx_Weapontrail_quick_Red,1378,,,,,,,,,,,,
1436,vfx_Weapontrail_quick_Red,1378,1375,,,,,,,,,,,
1437,vfx_Weapontrail_quick,1297,1295,,,,,,,,,,,
1441,1438 - 1441 STATE EFFECTS,,,,,,,,,,,,,
1442,BUILD_CH_ZelCastingRing,1383,,,,,,,,,,,,
1443,CH_CAST_MarkActivate,1384,,,,,,,,,,,,
1444,vfx_PtoP_CH_DEnergy01,1385,,,,,,,,,,,,
1445,vfx_PtoP_CH_DEnergy01_Impact,1386,1387,,,,,,,,,,,
1446,IMPACT_Fire_with_Burn,333,1237,,,,,,,,,,,
1447,Impact_MutClaw_Spark,1391,,,,,,,,,,,,
1448,Impact_MutClaw_Gutrip,921,1362,,,,,,,,,,,
;,1449,,,,,,,,,,,,,
1450,FIG_DeBUFF_Taint,1393,1329,1405,,,,,,,,,,
;,1451,,,,,,,,,,,,,
;,1452,,,,,,,,,,,,,
1453,BUFF_EM_VowofSilence,1397,,,,,,,,,,,,
1454,AOE_EM_SoulFire,1398,,,,,,,,,,,,
1455,DeBUFF_EM_AbsenceofFaith,1390,,,,,,,,,,,,
1456,BUFF_EM_SigmarsGrace,1399,,,,,,,,,,,,
1457,CAST_EM_SigmarsGrace,1400,,,,,,,,,,,,
1458,DeBUFF_EM_Purge,1401,,,,,,,,,,,,
1459,BUFF_EM_ParryIncrease,1402,,,,,,,,,,,,
1460,CAST_EM_HammerofSigmarL,1359,,,,,,,,,,,,
;,1461,,,,,,,,,,,,,
1462,DE_AOE_Mutla,1406,,,,,,,,,,,,
1463,BUFF_WH_BlessedWeapon03,1407,,,,,,,,,,,,
1464,vfx_BUFF_EM_SnareBreak,1408,,,,,,,,,,,,
1465,CAST_EM_SigmarsVision,1409,,,,,,,,,,,,
1466,DBUF_FIG_BurnArmor,1410,,,,,,,,,,,,
;,1467,,,,,,,,,,,,,
1468,BUILD_CH_Palsy,1412,,,,,,,,,,,,
1469,BUILD_CH_Electric,1413,,,,,,,,,,,,
;,1470,,,,,,,,,,,,,
1471,BUILD_CH_Rot,1415,,,,,,,,,,,,
;,State effects 1472,,,,,,,,,,,,,
1473,IMPACT_EM_Confess,1417,,,,,,,,,,,,
1474,Impact_CH_Cleave,1418,,,,,,,,,,,,
1475,CAST_CH_AoTerror,1419,,,,,,,,,,,,
1476,DeBUFF_CH_AoTerror,1420,,,,,,,,,,,,
1477,BUFF_Loop_CH_AoTerror,1421,,,,,,,,,,,,
;,1478,,,,,,,,,,,,,
1479,CAST_CH_AoWrath,1423,,,,,,,,,,,,
;,1480,,,,,,,,,,,,,
1481,BUFF_Loop_CH_AoWrath,1425,,,,,,,,,,,,
1482,IMPACT_CH_AoWrath_dmg,1426,,,,,,,,,,,,
1483,CAST_CH_AoInstability,1427,,,,,,,,,,,,
1484,DeBUFF_CH_AoInstability,1428,,,,,,,,,,,,
1485,BUFF_Loop_CH_AoInstability,1429,,,,,,,,,,,,
