Information,,NIF,Effect,Effect List
1871,WORLD OBJ he_statue_broken_sw_m,he_statue_broken_sw_m,,
1872,WORLD OBJ dw_statue_en_f,dw_statue_en_f,,
1873,WORLD OBJ dw_statuebroken_en_f,dw_statue_broken_en_f,,
1874,WORLD OBJ dw_statue_en_m,dw_statue_en_m,,
1875,WORLD OBJ dw_statuebroken_en_m,dw_statue_broken_en_m,,
1876,WORLD OBJ dw_statue_ha_f,dw_statue_ha_f,,
1877,WORLD OBJ dw_statuebroken_ha_f,dw_statue_broken_ha_f,,
1878,WORLD OBJ dw_statue_ha_m,dw_statue_ha_m,,
1879,WORLD OBJ dw_statuebroken_ha_m,dw_statue_broken_ha_m,,
1880,WORLD OBJ dw_statue_ib_f,dw_statue_ib_f,,
1881,WORLD OBJ dw_statuebroken_ib_f,dw_statue_broken_ib_f,,
1882,WORLD OBJ dw_statue_ib_m,dw_statue_ib_m,,
1883,WORLD OBJ dw_statuebroken_ib_m,dw_statue_broken_ib_m,,
1884,WORLD OBJ dw_statue_rp_f,dw_statue_rp_f,,
1885,WORLD OBJ dw_statuebroken_rp_f,dw_statue_broken_rp_f,,
1886,WORLD OBJ dw_statue_rp_m,dw_statue_rp_m,,
1887,WORLD OBJ dw_statuebroken_rp_m,dw_statue_broken_rp_m,,
1888,WORLD OBJ de_statue_bg_f,de_statue_bg_f,,
1889,WORLD OBJ de_statue_broken_bg_f,de_statue_broken_bg_f,,
1890,WORLD OBJ de_statue_bg_m,de_statue_bg_m,,
1891,WORLD OBJ de_statue_broken_bg_m,de_statue_broken_bg_m,,
1892,WORLD OBJ de_statue_so_f,de_statue_so_f,,
1893,WORLD OBJ de_statue_broken_so_f,de_statue_broken_so_f,,
1894,WORLD OBJ de_statue_so_m,de_statue_so_m,,
1895,WORLD OBJ de_statue_broken_so_m,de_statue_broken_so_m,,
1896,WORLD OBJ de_statue_dk_f,de_statue_dk_f,,
1897,WORLD OBJ de_statue_broken_dk_f,de_statue_broken_dk_f,,
1898,WORLD OBJ de_statue_dk_m,de_statue_dk_m,,
1899,WORLD OBJ de_statue_broken_dk_m,de_statue_broken_dk_m,,
1900,WORLD OBJ de_statue_we_f,de_statue_we_f,,
1901,WORLD OBJ de_statue_broken_we_f,de_statue_broken_we_f,,
1902,WORLD OBJ ch_statue_ma_f,ch_statue_ma_f,,
1903,WORLD OBJ ch_statuebroken_ma_f,ch_statue_broken_ma_f,,
1904,WORLD OBJ ch_statue_ma_m,ch_statue_ma_m,,
1905,WORLD OBJ ch_statuebroekn_ma_m,ch_statue_broken_ma_m,,
1906,WORLD OBJ ch_statue_ze_f,ch_statue_ze_f,,
1907,WORLD OBJ ch_statuebroken_ze_f,ch_statue_broken_ze_f,,
1908,WORLD OBJ ch_statue_ze_m,ch_statue_ze_m,,
1909,WORLD OBJ ch_statuebroken_ze_m,ch_statue_broken_ze_m,,
1910,WORLD OBJ ch_statue_cc_m,ch_statue_cc_m,,
1911,WORLD OBJ ch_statuebroken_cc_m,ch_statue_broken_cc_m,,
1912,WORLD OBJ ch_statue_mr_m,ch_statue_mr_m,,
1913,WORLD OBJ ch_statuebroken_mr_m,ch_statue_broken_mr_m,,
1914,WORLD OBJ vfx_em_LightColumn,vfx_em_LightColumn,,
1915,WORLD OBJ qi_mo_marshes_fissure01,qi_mo_marshes_fissure01,,
1916,WORLD OBJ qi_mo_marshes_fissure02,qi_mo_marshes_fissure02,,
1917,prop_dw_2h_barrel_01,prop_dw_2h_barrel_01,,
1918,prop_dw_2h_crate_01,prop_dw_2h_crate_01,,
1919,WORLD OBJ qi_blightthorn01,qi_blightthorn01,,
1920,WORLD OBJ qi_blightthorn02,qi_blightthorn02,,
1921,WORLD OBJ qi_ch_tablet_g_rune01,qi_ch_tablet_g_rune01,,
1922,WORLD OBJ qi_ch_tablet_g_rune02,qi_ch_tablet_g_rune02,,
1923,WORLD OBJ qi_ch_tablet_g_rune03,qi_ch_tablet_g_rune03,,
1924,WORLD OBJ qi_ch_tablet_g_rune04,qi_ch_tablet_g_rune04,,
1925,WORLD OBJ qi_ch_tablet_g_rune05,qi_ch_tablet_g_rune05,,
1926,WORLD OBJ qi_ch_tablet_g_rune06,qi_ch_tablet_g_rune06,,
1927,WORLD OBJ qi_ch_tablet_g_rune07,qi_ch_tablet_g_rune07,,
1928,WORLD OBJ qi_ch_tablet_g_rune08,qi_ch_tablet_g_rune08,,
1929,WORLD OBJ qi_ch_tablet_g_rune09,qi_ch_tablet_g_rune09,,
1930,WORLD OBJ qi_ch_deathstone01_nurgle_glow,qi_ch_deathstone01_nurgle_glow,,
1931,WORLD OBJ qi_ch_deathstone02_nurgle_glow,qi_ch_deathstone02_nurgle_glow,,
1932,WORLD OBJ qi_ch_plague_stone,qi_ch_plague_stone,,
1933,WORLD OBJ qi_ge_scarecrow02,qi_ge_scarecrow02,,
1934,WORLD OBJ em_dead_guard_m_03_burning,em_dead_guard_m_03_burning,,
1935,WORLD OBJ qi_ge_spider_egg01,qi_ge_spider_egg01,,
1936,WORLD OBJ ch_city_mailbox01,ch_city_mailbox01,,
1937,WORLD OBJ ch_MucusDoor_closed,ch_MucusDoor_closed,,
1938,WORLD OBJ ch_MucusDoor_opening,ch_MucusDoor_opening,,
1939,WORLD OBJ qi_he_harp01,qi_he_harp01,,
1940,WORLD OBJ em_cage_small01,em_cage_small01,,
1941,WORLD OBJ em_cage_small01_open,em_cage_small01_open,,
1942,WORLD OBJ qi_he_table_headcase01,qi_he_table_headcase01,,
1943,WORLD OBJ qi_he_table_headcase02,qi_he_table_headcase02,,
1944,WORLD OBJ ch_putrified_throne,ch_putrified_throne,,
1945,WORLD OBJ ch_frozen_corpse07,ch_frozen_corpse07,,
1946,WORLD OBJ he_dead_horse01,he_dead_horse01,,
1947,DW_Staff_2H_T3_04,DW_Staff_2H_T3_04,,
1948,GS_Bow_2H_T2_01,GS_Bow_2H_T2_01,,
1949,GS_Bow_2H_T2_02,GS_Bow_2H_T2_02,,
1950,GS_Bow_2H_T3_01,GS_Bow_2H_T3_01,,
1951,GS_Bow_2H_T3_02,GS_Bow_2H_T3_02,,
1952,GS_Staff_2H_T2_01,GS_Staff_2H_T2_01,,
1953,NPC_EverqueenStaff_2H_01,NPC_EverqueenStaff_2H_01,,
1954,NPC_MalekithSwd_1H_01,NPC_MalekithSwd_1H_01,,
1955,NPC_MalusSword_2H_01,NPC_MalusSword_2H_01,,
1956,WORLD OBJ qi_em_sewer_pipe_opening,qi_em_sewer_pipe_opening,,
1957,WORLD OBJ qi_em_sewer_pipe_closing,qi_em_sewer_pipe_closing,,
1958,WORLD OBJ qi_tzeentch_lantern_off,qi_tzeentch_lantern_off,,
1959,WORLD OBJ qi_tzeentch_lantern_on,qi_tzeentch_lantern_on,,
1960,WORLD OBJ qi_em_bodycart01_fire,qi_em_bodycart01_fire,,
1961,WORLD OBJ qi_ge_pike01,qi_ge_pike01,,
1962,WORLD OBJ ch_magustower_throne_static,ch_magustower_throne_static,,
1963,WORLD OBJ ch_magustower_throne_anim,ch_magustower_throne_anim,,
1964,WORLD OBJ qi_or_capturePost01,qi_or_capturePost01,,
1965,WORLD OBJ ch_tzeentch_eye01,ch_tzeentch_eye01,,
1966,WORLD OBJ ch_tzeentch_eye01_dying,ch_tzeentch_eye01_dying,,
1967,WORLD OBJ qi_ch_powerCrystalBlue_exploding,qi_ch_powerCrystalBlue_exploding,,
1968,WORLD OBJ qi_ch_powerCrystalRed_exploding,qi_ch_powerCrystalRed_exploding,,
1969,WORLD OBJ qi_em_LibraryBook_Upright,qi_em_LibraryBook_Upright,,
1970,WORLD OBJ qi_em_LibraryBook_Flat,qi_em_LibraryBook_Flat,,
1971,WORLD OBJ ge_city_portalplane_blue,ge_city_portalplane_blue,,
1972,WORLD OBJ ge_city_portalplane_red,ge_city_portalplane_red,,
1973,WORLD OBJ qi_ch_room_grate01,qi_ch_room_grate01,,
1974,WORLD OBJ qi_em_HP_ForceDome_flicker,qi_em_HP_ForceDome_flicker,,
1975,WORLD OBJ qi_ch_floating_skull01,qi_ch_floating_skull01,,
1976,WORLD OBJ qi_bs_skull_pile_lrg,qi_bs_skull_pile_lrg,,
1977,WORLD OBJ qi_bs_skull_pile_mid,qi_bs_skull_pile_mid,,
1978,WORLD OBJ qi_bs_skull_pile_sml,qi_bs_skull_pile_sml,,
1979,WORLD OBJ qi_em_HP_ForceDome,qi_em_HP_ForceDome,,
1980,WORLD OBJ ch_putrified_throne,ch_putrified_throne,,
1981,WORLD OBJ qi_em_moss_rock01,qi_em_moss_rock01,,
1982,EM_Shield_T2_01,EM_Shield_T2_01,,
1983,EM_Shield_T2_02,EM_Shield_T2_02,,
1984,EM_Shield_T2_03,EM_Shield_T2_03,,
1985,EM_Shield_T3_02,EM_Shield_T3_02,,
1986,EM_Shield_T3_03,EM_Shield_T3_03,,
1987,EM_Shield_T1_02,EM_Shield_T1_02,,
1988,EM_Shield_T1_03,EM_Shield_T1_03,,
1989,em_Mace_1H_TL_01,em_Mace_1H_TL_01,,
1990,em_Mace_1H_TL_02,em_Mace_1H_TL_02,,
1991,WORLD OBJ go_lobber_camera01,go_lobber_camera01,,
1992,WORLD OBJ go_lobber_camera02,go_lobber_camera02,,
1993,WORLD OBJ vfx_em_grapevine_burning,vfx_em_grapevine_burning,,
1994,WORLD OBJ vfx_em_grapevine_extinguishing,vfx_em_grapevine_extinguishing,,
1995,WORLD OBJ qi_ge_spidercocoon01_animated,qi_ge_spidercocoon01_animated,,
1996,WORLD OBJ qi_em_bell01_animated,qi_em_bell01_animated,,
1997,WORLD OBJ ch_tempesthorn01,ch_tempesthorn01 ,,
1998,WORLD OBJ qi_he_lv_prisonercage_opened,qi_he_lv_prisonercage_opened,,
1999,WORLD OBJ qi_he_lv_prisonercage_closed,qi_he_lv_prisonercage_closed,,
2000,WORLD OBJ he_lostvale_tier3,he_lostvale_tier3,,
2001,NPC_SK_Bomb_01,NPC_SK_Bomb_01,,
2002,NPC_EM_Bucket_01,NPC_EM_Bucket_01,,
2003,NPC_EM_Scythe_01,NPC_EM_Scythe_01,,
2004,WORLD OBJ qi_em_drakk_magicalBarrier01,qi_em_drakk_magicalBarrier01,,
2005,WORLD OBJ qi_ge_bandlands_dirtPile02,qi_ge_bandlands_dirtPile02,,
2006,WORLD OBJ qi_ge_bandlands_dirtPile01,qi_ge_bandlands_dirtPile01,,
2007,WORLD OBJ qi_prop_food_horn_glowing,qi_prop_food_horn_glowing,,
2008,Cre_Bloodthirster_1H_Axe_01_Invisible,Cre_Bloodthirster_1H_Axe_01_Invisible,,
2009,WORLD OBJ vfx_de_av_tree_01_var01_burning,vfx_de_av_tree_01_var01_burning,,
2010,WORLD OBJ vfx_de_av_thickShrubs_var02_burning,vfx_de_av_thickShrubs_var02_burning,,
2011,WORLD OBJ vfx_de_av_thickShrubs_var01_burning,vfx_de_av_thickShrubs_var01_burning,,
2012,WORLD OBJ vfx_de_av_tree_03_var01_burning,vfx_de_av_tree_03_var01_burning,,
2013,WORLD OBJ vfx_de_av_tree_01_var00_burning,vfx_de_av_tree_01_var00_burning,,
2014,WORLD OBJ vfx_de_av_tree_01_var02_burning,vfx_de_av_tree_01_var02_burning,,
2015,WORLD OBJ de_av_tree_root01,de_av_tree_root01,,
2016,WORLD OBJ vfx_de_av_tree_root01_burning,vfx_de_av_tree_root01_burning,,
2017,DW_Staff_2H_T1_01,DW_Staff_2H_T1_01,,
2018,DW_Staff_2H_TE_03,DW_Staff_2H_TE_03,,
2019,DW_Spanner_1H_T2_01,DW_Spanner_1H_T2_01,,
2020,NPC_DW_Dagger_01,NPC_DW_Dagger_01,,
2021,NPC_DW_Crossbow_01,NPC_DW_Crossbow_01,,
2022,NPC_DW_Pick_01,NPC_DW_Pick_01,,
2023,WORLD em_banner_stand_01,em_banner_stand_01,,
2024,ITEM_ORDR_GuildBanner_01,ITEM_ORDR_GuildBanner_01,,
2025,WORLD OBJ qi_dw_lantern01,qi_dw_lantern01,,
2026,WORLD OBJ or_Statue_CH,or_Statue_CH,,
2027,WORLD OBJ or_Statue_SH,or_Statue_SH,,
2028,WORLD OBJ or_Statue_SQ,or_Statue_SQ,,
2029,WORLD OBJ or_Statue_BO,or_Statue_BO,,
2030,WORLD OBJ or_Statue_broken_BO,or_Statue_broken_BO,,
2031,WORLD OBJ or_Statue_broken_CH,or_Statue_broken_CH,,
2032,WORLD OBJ or_Statue_broken_SH,or_Statue_broken_SH,,
2033,WORLD OBJ or_Statue_broken_SQ,or_Statue_broken_SQ,,
2034,EM_Book_1H_T2_01,EM_Book_1H_T2_01,,
2035,EM_Book_1H_T3_01,EM_Book_1H_T3_01,,
2036,EM_Book_1H_T4_01,EM_Book_1H_T4_01,,
2037,WORLD OBJ ch_banner_stand_01,ch_banner_stand_01,,
2038,WORLD OBJ de_banner_stand_01,de_banner_stand_01,,
2039,WORLD OBJ dw_banner_stand_01,dw_banner_stand_01,,
2040,WORLD OBJ em_banner_stand_01,em_banner_stand_01,,
2041,WORLD OBJ he_banner_stand_01,he_banner_stand_01,,
2042,WORLD OBJ or_banner_stand_01,or_banner_stand_01,,
2043,WORLD OBJ ch_city_lyceum01_case01,ch_city_lyceum01_case01,,
2044,CH_Mace_1H_T1_01,CH_Mace_1H_T1_01,,
2045,CH_Mace_1H_TE_01,CH_Mace_1H_TE_01,,
2046,,,,
2047,CH_Pick_1H_TE_01,CH_Pick_1H_TE_01,,
2048,DW_Spanner_1H_T3_01,DW_Spanner_1H_T3_01,,
2049,DW_Spanner_2H_T2_01,DW_Spanner_2H_T2_01,,
2050,DW_Staff_2H_T1_03,DW_Staff_2H_T1_03,,
2051,DW_Staff_2H_T2_04,DW_Staff_2H_T2_04,,
2052,EM_Rapier_1H_T2_02,EM_Rapier_1H_T2_02,,
2053,EM_Rapier_1H_T3_01,EM_Rapier_1H_T3_01,,
2054,EM_Rapier_1H_T3_02,EM_Rapier_1H_T3_02,,
2055,EM_Rapier_1H_TE_01,EM_Rapier_1H_TE_01,,
2056,EM_Rapier_1H_TE_02,EM_Rapier_1H_TE_02,,
2057,EM_Staff_2H_TE_01,EM_Staff_2H_TE_01,,2480
2058,EM_Staff_2H_TE_02,EM_Staff_2H_TE_02,,2480
2059,GS_Shield_TE_02,GS_Shield_TE_02,,
2060,GS_Spear_2H_T1_02,GS_Spear_2H_T1_02,,
2061,GS_Spear_2H_T3_03,GS_Spear_2H_T3_03,,
2062,HE_Staff_2H_T1_03,HE_Staff_2H_T1_03,,
2063,HE_Staff_2H_T2_03,HE_Staff_2H_T2_03,,
2064,HE_Staff_2H_T2_04,HE_Staff_2H_T2_04,,
2065,HE_Staff_2H_T3_04,HE_Staff_2H_T3_04,,
2066,HE_Staff_2H_T4_03,HE_Staff_2H_T4_03,,
2067,HE_Staff_2H_T4_04,HE_Staff_2H_T4_04,,
2068,HE_Staff_2H_TE_02,HE_Staff_2H_TE_02,,
2069,GS_Bow_2H_TE_01,GS_Bow_2H_TE_01,,
2070,GS_Bow_2H_TE_02,GS_Bow_2H_TE_02,,
2071,GS_Choppa_1H_T4_03,GS_Choppa_1H_T4_03,,
2072,GS_Choppa_1H_T4_04,GS_Choppa_1H_T4_04,,
2073,GS_Choppa_1H_TE_02,GS_Choppa_1H_TE_02,,
2074,GS_Staff_2H_T1_03,GS_Staff_2H_T1_03,,
2075,GS_Staff_2H_TE_02,GS_Staff_2H_TE_02,,
2076,NPC_TcharZanekSword_2H_01,NPC_TcharZanekSword_2H_01,,
2077,WORLD OBJ em_crypt_prop_coffin_static,em_crypt_prop_coffin_static,,
2078,NPC_EM_Pitchfork_01,NPC_EM_Pitchfork_01,,
2079,NPC_EM_Shovel_01,NPC_EM_Shovel_01,,
2080,GS_Staff_2H_T2_04,GS_Staff_2H_T2_04,,
2081,GS_Staff_2H_T3_04,GS_Staff_2H_T3_04,,
2082,NPC_ByrrnothShield_01,NPC_ByrrnothShield_01,,
2083,NPC_Imriklance_01,NPC_Imriklance_01,,
2084,NPC_SkavenSword_01,NPC_SkavenSword_01,,
2085,NPC_SkavenSword_02,NPC_SkavenSword_02,,
2086,EM_Rapier_1H_T2_03,EM_Rapier_1H_T2_03,,
2087,GS_Bow_2H_T4_02,GS_Bow_2H_T4_02,,
2088,GS_Shield_TE_01,GS_Shield_TE_01,,
2089,GS_Spear_2H_T4_02,GS_Spear_2H_T4_02,,
2090,GS_Spear_2H_TE_01,GS_Spear_2H_TE_01,,
2091,GS_Spear_2H_TE_02,GS_Spear_2H_TE_02,,
2092,GS_Staff_2H_T3_01,GS_Staff_2H_T3_01,,
2093,GS_Staff_2H_T3_03,GS_Staff_2H_T3_03,,
2094,GS_Staff_2H_T4_04,GS_Staff_2H_T4_04,,
2095,NPC_ByrrnothAxe_01,NPC_ByrrnothAxe_01,,
2096,NPC_GotrekAxe_01,NPC_GotrekAxe_01,,
2097,NPC_KraggHammer_01,NPC_KraggHammer_01,,
2098,NPC_KraggStaff_01,NPC_KraggStaff_01,,
2099,NPC_KurtSword_01,NPC_KurtSword_01,,
2100,NPC_SlaaneshDagger_01,NPC_SlaaneshDagger_01,,
2101,NPC_SlaaneshFetish_01,NPC_SlaaneshFetish_01,,
2102,NPC_VolkmarStaff_01,NPC_VolkmarStaff_01,,
2103,GS_Spear_2H_T3_02,GS_Spear_2H_T3_02,,
2104,GS_Spear_2H_T4_03,GS_Spear_2H_T4_03,,
2105,NPC_EngraSword_01,NPC_EngraSword_01,,
2106,NPC_MagusStaff_01,NPC_MagusStaff_01,,
2107,NPC_SkavenStaff_01,NPC_SkavenStaff_01,,
2108,WORLD OBJ vfx_scenario_koh_white02,vfx_scenario_koh_white02,,
2109,WORLD OBJ vfx_scenario_koh_red02,vfx_scenario_koh_red02,,
2110,WORLD OBJ vfx_scenario_koh_blue02,vfx_scenario_koh_blue02,,
2111,NPC_TcharZanekStaff_01,NPC_TcharZanekStaff_01,,
2112,WORLD OBJ qi_em_drakk_magicDome01,qi_em_drakk_magicDome01,,
2113,WORLD OBJ qi_he_portal_obelisk_broken,qi_he_portal_obelisk_broken,,
2114,WORLD OBJ qi_he_portal_obelisk,qi_he_portal_obelisk,,
2115,WORLD OBJ qi_em_city_beerKegs_static,qi_em_city_beerKegs_static,,
2116,WORLD OBJ qi_em_city_beerKegs_breaking,qi_em_city_beerKegs_breaking,,
2117,WORLD OBJ vfx_ch_EnergyPrison01,vfx_ch_EnergyPrison01,,
2118,NPC_CH_BankerDisk_01,NPC_CH_BankerDisk_01,,
2119,WORLD OBJ em_city_merchant_awning01_extinguishing,em_city_merchant_awning01_extinguishing,,
2120,WORLD OBJ em_city_merchant_awning02_extinguishing,em_city_merchant_awning02_extinguishing,,
2121,WORLD OBJ em_city_merchant_awning03_extinguishing,em_city_merchant_awning03_extinguishing,,
2122,WORLD OBJ em_city_merchant_awning04_extinguishing,em_city_merchant_awning04_extinguishing,,
2123,WORLD OBJ Ch_city_elysium_Grass_spawnStart,Ch_city_elysium_Grass_spawnStart,,
2124,WORLD OBJ vfx_ch_city_elysium_A1,vfx_ch_city_elysium_A1,,
2125,WORLD OBJ vfx_ch_city_elysium_A2,vfx_ch_city_elysium_A2,,
2126,WORLD OBJ vfx_ch_city_elysium_B1,vfx_ch_city_elysium_B1,,
2127,WORLD OBJ vfx_ch_city_elysium_B2,vfx_ch_city_elysium_B2,,
2128,WORLD OBJ vfx_ch_city_elysium_C1,vfx_ch_city_elysium_C1,,
2129,WORLD OBJ vfx_ch_city_elysium_C2,vfx_ch_city_elysium_C2,,
2130,WORLD OBJ Ch_city_barrel,Ch_city_barrel,,
2131,WORLD OBJ Ch_city_chair,Ch_city_chair,,
2132,WORLD OBJ ch_prop_bench01,ch_prop_bench01,,
2133,WORLD OBJ ch_prop_table02,ch_prop_table02,,
2134,WORLD OBJ Ch_city_barrel_breaking,Ch_city_barrel_breaking,,
2135,WORLD OBJ Ch_city_chair_breaking,Ch_city_chair_breaking,,
2136,WORLD OBJ ch_prop_bench01_breaking,ch_prop_bench01_breaking,,
2137,WORLD OBJ ch_prop_table02_breaking,ch_prop_table02_breaking,,
2138,NPC_EM_GrayStaff_01,NPC_EM_GrayStaff_01,,
2139,NPC_EM_JadeStaff_01,NPC_EM_JadeStaff_01,,
2140,NPC_EM_AmethystStaff_01,NPC_EM_AmethystStaff_01,,
2141,WORLD OBJ ge_city_scrolls_extinguishing,ge_city_scrolls_extinguishing,,
2142,WORLD OBJ ge_city_scrolls_burning,ge_city_scrolls_burning,,
2143,WORLD OBJ ge_city_scrolls,ge_city_scrolls,,
2144,WORLD OBJ em_city_library_shelf01,em_city_library_shelf01,,
2145,WORLD OBJ em_city_library_shelf01_extinguishing,em_city_library_shelf01_extinguishing,,
2146,WORLD OBJ em_city_library_shelf01_burning,em_city_library_shelf01_burning,,
2147,WORLD OBJ em_city_book_pile01_burning,em_city_book_pile01_burning,,
2148,WORLD OBJ em_city_book_pile01,em_city_book_pile01,,
2149,WORLD OBJ em_city_book_pile01_extinguishing,em_city_book_pile01_extinguishing,,
2150,WORLD OBJ em_city_barrel_lamp_extinguishing,em_city_barrel_lamp_extinguishing,,
2151,WORLD OBJ em_city_table_lamp_extinguishing,em_city_table_lamp_extinguishing,,
2152,WORLD OBJ em_city_crates_lamp_extinguishing,em_city_crates_lamp_extinguishing,,
2153,WORLD OBJ ch_chest_break_open,ch_chest_break_open,,
2154,WORLD OBJ Qi_Bonepile01_SnowCovered,Qi_Bonepile01_SnowCovered,,
2155,WORLD OBJ qi_em_cauldron02_empty,qi_em_cauldron02_empty,,
2156,WORLD OBJ qi_em_cauldron02_full,qi_em_cauldron02_full,,
2157,NPC_CH_Windblade_2H_01,NPC_CH_Windblade_2H_01,,
2158,WORLD OBJ sk_basement01_brickwall,sk_basement01_brickwall,,
2159,NPC_CH_Crate_01,NPC_CH_Crate_01,,
2160,WORLD OBJ em_praag_barricadeSmall_Standing,em_praag_barricadeSmall_Standing,,
2161,WORLD OBJ em_praag_barricadeSmall_Destroyed,em_praag_barricadeSmall_Destroyed,,
2162,NPC_OG_Cannon_01,NPC_OG_Cannon_01,,
2163,NPC_OG_Cannon_02,NPC_OG_Cannon_02,,
2164,WORLD OBJ ch_city_tent01_contested,ch_city_tent01_contested,,
2165,WORLD OBJ ch_city_tent01_burning,ch_city_tent01_burning,,
2166,WORLD OBJ ch_city_tent01_extinguishing,ch_city_tent01_extinguishing,,
2167,WORLD OBJ ch_city_forgetent01_contested,ch_city_forgetent01_contested,,
2168,WORLD OBJ ch_city_forgetent01_burning,ch_city_forgetent01_burning,,
2169,WORLD OBJ ch_city_forgetent01_extinguishing,ch_city_forgetent01_extinguishing,,
2170,WORLD OBJ ch_city_forgetent02_contested,ch_city_forgetent02_contested,,
2171,WORLD OBJ ch_city_forgetent02_burning,ch_city_forgetent02_burning,,
2172,WORLD OBJ ch_city_forgetent02_extinguishing,ch_city_forgetent02_extinguishing,,
2173,WORLD OBJ ch_city_tent_special_Contested,ch_city_tent_special_Contested,,
2174,WORLD OBJ ch_city_tent_special_burning,ch_city_tent_special_burning,,
2175,WORLD OBJ ch_city_tent_special_extinguishing,ch_city_tent_special_extinguishing,,
2176,WORLD OBJ ch_city_tent03_contested,ch_city_tent03_contested,,
2177,WORLD OBJ ch_city_tent03_burning,ch_city_tent03_burning,,
2178,WORLD OBJ ch_city_tent03_extinguishing,ch_city_tent03_extinguishing,,
2179,WORLD OBJ ch_city_tent04_contested,ch_city_tent04_contested,,
2180,WORLD OBJ ch_city_tent04_Burning,ch_city_tent04_Burning,,
2181,WORLD OBJ ch_city_tent04_extinguishing,ch_city_tent04_extinguishing,,
2182,WORLD OBJ ch_city_awning_medium01_contested,ch_city_awning_medium01_contested,,
2183,WORLD OBJ ch_city_awning_medium01_burning,ch_city_awning_medium01_burning,,
2184,WORLD OBJ ch_city_awning_medium01_extinguishing,ch_city_awning_medium01_extinguishing,,
2185,WORLD OBJ ch_city_awning_medium02_contested,ch_city_awning_medium02_contested,,
2186,WORLD OBJ ch_city_awning_medium02_burning,ch_city_awning_medium02_burning,,
2187,WORLD OBJ ch_city_awning_medium02_extinguishing,ch_city_awning_medium02_extinguishing,,
2188,WORLD OBJ qi_he_lv_pressureplate_on,qi_he_lv_pressureplate_on,,
2189,WORLD OBJ qi_he_lv_pressureplate_off,qi_he_lv_pressureplate_off,,
2190,DE_Staff_2H_T1_04,DE_Staff_2H_T1_04,,
2191,DE_Staff_2H_T2_05,DE_Staff_2H_T2_05,,
2192,DE_Staff_2H_T3_05,DE_Staff_2H_T3_05,,
2193,DE_Staff_2H_T3_06,DE_Staff_2H_T3_06,,
2194,DE_Staff_2H_T4_05,DE_Staff_2H_T4_05,,
2195,DE_Staff_2H_TE_03,DE_Staff_2H_TE_03,,
2196,DE_Staff_2H_TE_04,DE_Staff_2H_TE_04,,
2197,DE_Sword_1H_T1_03,DE_Sword_1H_T1_03,,
2198,DE_Sword_1H_T2_03,DE_Sword_1H_T2_03,,
2199,DE_Sword_1H_T2_04,DE_Sword_1H_T2_04,,
2200,DE_Sword_1H_T3_04,DE_Sword_1H_T3_04,,
2201,DE_Sword_1H_T4_03,DE_Sword_1H_T4_03,,
2202,DE_Sword_1H_TE_03,DE_Sword_1H_TE_03,,
2203,DW_Hammer_2H_T4_03,DW_Hammer_2H_T4_03,,
2204,GS_Spear_2H_T4_01,GS_Spear_2H_T4_01,,
2205,GS_Spear_2H_TE_03,GS_Spear_2H_TE_03,,
2206,GS_Staff_2H_T3_05,GS_Staff_2H_T3_05,,
2207,GS_Staff_2H_TE_03,GS_Staff_2H_TE_03,,
2208,NPC_BM_Staff_01,NPC_BM_Staff_01,,
2209,NPC_FelixSword_1H_01 ,NPC_FelixSword_1H_01 ,,
2210,NPC_KhorneAxe_2H_01,NPC_KhorneAxe_2H_01,,
2211,WORLD OBJ Qi_Barrel_Ch,Qi_Barrel_Ch,,
2212,WORLD OBJ Ch_city_prop_merchantcart01,Ch_city_prop_merchantcart01,,
2213,WORLD OBJ Em_city_merchantcart01_contested,Em_city_merchantcart01_contested,,
2214,WORLD OBJ ch_city_sign_wanted,ch_city_sign_wanted,,
2215,WORLD OBJ ORDR_Guild_Banner_01,ORDR_Guild_Banner_01,,
2216,WORLD OBJ DEST_Guild_Banner_01,DEST_Guild_Banner_01,,
2217,WORLD OBJ em_city_crates01,em_city_crates01,,
2218,WORLD OBJ em_city_crates_burning,em_city_crates_burning,,
2219,WORLD OBJ em_city_crates_extinguishing,em_city_crates_extinguishing,,
2220,WORLD OBJ em_city_barrel_01,em_city_barrel_01,,
2221,WORLD OBJ em_city_barrel_burning,em_city_barrel_burning,,
2222,WORLD OBJ em_city_barrel_extinguishing,em_city_barrel_extinguishing,,
2223,WORLD OBJ em_city_table01,em_city_table01,,
2224,WORLD OBJ em_city_table_burning,em_city_table_burning,,
2225,WORLD OBJ em_city_table_extinguishing,em_city_table_extinguishing,,
2226,WORLD OBJ em_merchant_cart_contested01,em_merchant_cart_contested01,,
2227,WORLD OBJ em_merchant_cart_contested01_burning,em_merchant_cart_contested01_burning,,
2228,WORLD OBJ em_merchant_cart_contested01_extinguishing,em_merchant_cart_contested01_extinguishing,,
2229,WORLD OBJ ch_city_awning_small01,ch_city_awning_small01,,
2230,WORLD OBJ ch_city_awning_small01_burning,ch_city_awning_small01_burning,,
2231,WORLD OBJ ch_city_awning_small01_extinguishing,ch_city_awning_small01_extinguishing,,
2232,WORLD OBJ ch_city_awning_small02,ch_city_awning_small02,,
2233,WORLD OBJ ch_city_awning_small02_burning,ch_city_awning_small02_burning,,
2234,WORLD OBJ ch_city_awning_small02_extinguishing,ch_city_awning_small02_extinguishing,,
