,,,,0,Buff,Build Up,Action,Special,Play,Mount Build,MountAction,ActivateAgro,Suppress,Force in phase to be ## seconds,Max Playback Rate,,,,
2403,Radiant Gaze,,,13360,13360,,69,2403,1,,,1,,,,,,,
2404,Walk Between Worlds,,,13361,13361,,76,2404,1,,,1,,,,,,,
2405,Cleansing Flare,,,13362,13362,,76,2405,1,,,1,,,,,,,
2406,Fury Of Asuryan,,,13363,13363,,73,2406,1,,,1,,,,,,,
2407,Shield Of Saphery,,,13364,13364,,73,2407,1,,,1,,,,,,,
2408,Storm Of Cronos,,,13365,13365,,72,2408,1,,,1,,0.5,,,,,
2409,,,,13411,13411,,,2409,,,,1,,,,,,,
2410,Dissipating Energies,,,13412,13412,,72,2410,1,,,1,,,,,,,
2411,Magical Infusion,,,13413,13413,,71,2411,1,,,1,,,,,,,
2412,Feel the Winds,,,4422,4422,,73,2412,1,,,1,,,,,,,
2413,Energy of Vaul,,,11010,11010,,99,2413,1,,,1,,,,,,,
;,;Archmage Tactics,,,,,,,;,,,,1,,,,,,,
2414,Empowered Lores,,,22703,22703,,32,2414,1,,,0,,,,,,,
2415,Isha's Encouragement,,,22705,22705,,32,2415,1,,,0,,,,,,,
2416,Master Of Tranquility,,,22706,22706,,32,2416,1,,,0,,,,,,,
2417,Hurried Restoration,,,22703,22703,,32,2417,1,,,0,,,,,,,
2418,Master Of Force,,,22704,22704,,32,2418,1,,,0,,,,,,,
2419,Transfer Magic,,,22708,22708,,32,2419,1,,,0,,,,,,,
2420,Run Between Worlds,,,22694,22694,,32,2420,1,,,0,,,,,,,
2421,Desperation,,,22706,22706,,32,2421,1,,,0,,,,,,,
2422,,,,,,,,2422,,,,1,,,,,,,
2423,,,,,,,,2423,,,,1,,,,,,,
2424,;Archmage Spec Tactics,,,,,,,2424,,,,1,,,,,,,
2425,Balanced Mending,,,22706,22706,,32,2425,1,,,0,,,,,,,
2426,Bolstering Boon,,,22708,22708,,32,2426,1,,,0,,,,,,,
2427,Forked Lancing,,,22703,22703,,32,2427,1,,,0,,,,,,,
2428,Dispel Magic,,,22704,22704,,32,2428,1,,,0,,,,,,,
2429,Expanded Control,,,22709,22709,,32,2429,1,,,0,,,,,,,
2430,Golden Aura,,,22713,22713,,32,2430,1,,,0,,,,,,,
2431,Wild Healing,,,22706,22706,,32,2431,1,,,0,,,,,,,
2432,Increased Conductivity,,,22694,22694,,32,2432,1,,,0,,,,,,,
2433,Arcing Power,,,22706,22706,,32,2433,1,,,0,,,,,,,
2434,,,,,,,,2434,,,,1,,,,,,,
2435,,,,,,,,2435,,,,1,,,,,,,
2436,,,,,,,,2436,,,,1,,,,,,,
2437,,,,,,,,2437,,,,1,,,,,,,
2438,,,,,,,,2438,,,,1,,,,,,,
;,;Archmage Morale,,,,,,,;,,,,1,,,,,,,
2439,The Beast Unleashed,,,13366,13366,,75,2439,1,,,1,,,,,,,
2440,Blinding Light,,,13367,13367,,75,2440,1,,,1,,,,,,,
2441,Arcane Suppresion,,,13368,13368,,69,2441,1,,,1,,,,,,,
2442,,,,,,,,2442,,,,1,,,,,,,
2443,,,,,,,,2443,,,,1,,,,,,,
2444,;Archmage Spec Morale,,,,,,,2444,,,,1,,,,,,,
2445,Winds' Protection,,,13414,13414,,99,2445,1,,,1,,,,,,,
2446,Flames Of The Phoenix,,,13415,13415,,99,2446,1,,,1,,,,,,,
2447,Funnel Energy,,,13459,13459,,99,2447,1,,,1,,,,,,,
2448,,,,,,,,2448,,,,1,,,,,,,
2449,,,,,,,,2449,,,,1,,,,,,,
;,;Blackguard Abilities,,,,,,,;,,,,1,,,,,,,
2450,Throw Dagger,,,11007,11007,,23,2450,1,,,1,,,,,,,
2451,Hateful Strike,,,11008,11008,,40,2451,1,,,1,,,,,,,
2452,Feeding On Weakness,,,11009,11009,,26,2452,1,,,1,,,,,,,
2453,Mind Killer,,,11010,11010,,48,2453,1,,,1,,,,,,,
2454,Crippling Anger,,,11011,11011,,34,2454,1,,,1,,,,,,,
2455,Driven By Hate,,,11012,11012,,76,2455,1,,,1,,,,,,,
2456,Murderous Wrath,,,11013,11013,,39,2456,1,,,1,,,,,,,
2457,Spiteful Slam,,,11014,11014,,75,2457,1,,,1,,,,,,,
2458,Taunt,,,11015,11015,,74,2458,1,,,1,,,,,,,
2459,Monstrous Rending,,,11016,11016,,35,2459,1,,,1,,,,,,,
2460,Brutal Smash,,,11017,11017,,39,2460,1,,,1,,,,,,,
2461,Guard,,,11018,11018,,74,2461,1,,,1,,,,,,,
2462,Hold The Line!,,,11019,11019,,75,2462,1,,,1,,,,,,,
2463,Crushing Anger,,,11020,11020,,47,2463,1,,,1,,,,,,,
2464,Exile,,,11021,11021,,29,2464,1,,,1,,,,,,,
2465,Horrific Wound,,,11022,11022,,28,2465,1,,,1,,,,,,,
2466,Juggernaut,,,11023,11023,,76,2466,1,,,1,,,,,,,
2467,Furious Howl,,to howl?,11024,11024,,76,2467,1,,,1,,,,,,,
2468,Challenge,,,11025,11025,,69,2468,1,,,1,,,,,,,
2469,Crush The Weak,,,11026,11026,,47,2469,1,,,1,,,,,,,
2470,Grip Of Anger,,,11027,11027,,70,2470,1,,,1,,,,,,,
2471,Pitiless Strike,,,11028,11028,,49,2471,1,,,1,,,,,,,
2484,Shield of Rage,,to Halt,11037,11037,,75,2484,1,,,1,,,,,,,
2473,Shatter Enchantment,,,11030,11030,,26,2473,1,,,1,,,,,,,
2474,Dark Protector,,,11501,11501,,74,2474,1,,,1,,,,,,,
2475,,,,4101,4101,,,2475,,,,1,,,,,,,
2476,Hatred Icon,,,4421,4421,,99,2476,1,,,1,,,,,,,
2477,;Blackguard Spec Abilities,,,,,,,2477,,,,1,,,,,,,
2478,Blade Of Ruin,,,11031,11031,,39,2478,1,,,1,,,,,,,
2479,Enraged Beating,,changing to channel,11032,11032,,98,2479,1,,,1,,,,,,,
2480,Crimson Death,,,11033,11033,,47,2480,1,,,1,,,,,,,
2481,None Shall Pass,,,11034,11034,,75,2481,1,,,1,,,,,,,
2482,Force Of Fury,,to Halt,11035,11035,,76,2482,1,,,1,,,,,,,
2483,Elite Training,,,11036,11036,,73,2483,1,,,1,,,,,,,
2472,Wave of Scorn,,maybe do DD?,11029,11029,,33,2472,1,,,1,,,,,,,
2485,Choking Fury,,,11038,11038,,40,2485,1,,,1,,,,,,,
2486,Bolstering Anger,,,11039,11039,,70,2486,1,,,1,,,,,,,
2487,,,,,,,,2487,,,,1,,,,,,,
2488,,,,,,,,2488,,,,1,,,,,,,
;,;Blackguard Tactics,,,,,,,;,,,,1,,,,,,,
2489,Terrifying Foe,,,22694,22694,,99,2489,1,,,1,,,,,,,
2490,Thirst For Death,,,22709,22709,,99,2490,1,,,1,,,,,,,
2491,Pitiless Feeding,,,22701,22701,,99,2491,1,,,1,,,,,,,
2492,Efficient Slaughter,,,22702,22702,,99,2492,1,,,1,,,,,,,
2493,Malekith's Bulwark,,,22702,22702,,99,2493,1,,,1,,,,,,,
2494,Endless Pursuit,,,22702,22702,,99,2494,1,,,1,,,,,,,
2495,Swift Fury,,,22694,22694,,99,2495,1,,,1,,,,,,,
2496,Simmering Anger,,,22704,22704,,99,2496,1,,,1,,,,,,,
2497,,,,,,,,2497,,,,1,,,,,,,
2498,,,,,,,,2498,,,,1,,,,,,,
;,;Blackguard Specialist Tactics,,,,,,,;,,,,1,,,,,,,
2499,Monstrous Ruin,,,22694,22694,,99,2499,1,,,1,,,,,,,
2500,Filled With Fury,,,22702,22702,,99,2500,1,,,1,,,,,,,
2501,Hastened Doom,,,22702,22702,,99,2501,1,,,1,,,,,,,
2502,Feeding On Pain,,,22701,22701,,99,2502,1,,,1,,,,,,,
2503,Anger Drives Me,,,22704,22704,,99,2503,1,,,1,,,,,,,
2504,Crush Vitality,,,22702,22702,,99,2504,1,,,1,,,,,,,
2505,Unstoppable Fury,,,22704,22704,,99,2505,1,,,1,,,,,,,
2506,Shielding Anger,,,22694,22694,,99,2506,1,,,1,,,,,,,
2507,Soul Killer,,,22701,22701,,99,2507,1,,,1,,,,,,,
2508,,,,,,,,2508,,,,1,,,,,,,
2509,,,,,,,,2509,,,,1,,,,,,,
2510,,,,,,,,2510,,,,1,,,,,,,
2511,,,,,,,,2511,,,,1,,,,,,,
2512,,,,,,,,2512,,,,1,,,,,,,
2513,;Blackguard Morale,,,,,,,2513,,,,1,,,,,,,
2514,Banish Weakness,,,11040,11040,,73,2514,1,,,1,,,,,,,
2515,"Away, Cretins!",,,11041,11041,,73,2515,1,,,1,,,,,,,
2516,Armor Of Eternal Servitude,,,11042,11042,,73,2516,1,,,1,,,,,,,
2517,,,,,,,,2517,,,,1,,,,,,,
2518,,,,,,,,2518,,,,1,,,,,,,
2519,;Blackguard Specialist Morale,,,,,,,2519,,,,1,,,,,,,
2520,Khaine's Warding,,,11043,11043,,73,2520,1,,,1,,,,,,,
2521,Blast Of Hatred,,,11044,11044,,73,2521,1,,,1,,,,,,,
2522,In Malekith's Name!,,,11045,11045,,73,2522,1,,,1,,,,,,,
2523,,,,,,,,2523,,,,1,,,,,,,
2524,,,,,,,,2524,,,,1,,,,,,,
;,;Witch Elf Abilities,,,,,,,;,,,,1,,,,,,,
2525,Enchanting Beauty,,New: Added 11-12,10968,10968,,73,2525,1,,,1,,,,,,,
2526,Shadow Prowler,,New Stealth,10969,10969,,32,2526,1,,,1,,,,,,,
2527,Throwing Dagger,,,10903,10903,,23,2527,1,,,1,,,,,,,
2528,Fleet-Footed,,New: Added 11-12,10970,10970,,73,2528,1,,,1,,,,,,,
2529,Agile Escape,,New: Added 11-12,10905,10905,,40,2529,1,,,1,,,,,,,
2530,Feinted Positioning,,New: Added 03-25,5170,5170,,99,2530,1,,,1,,,,,,,
2531,Slice,,,10902,10902,,29,2531,1,,,1,,,,,,,
2532,Ruthless Assault,,,10904,10904,,98,2532,1,,,1,,,,,,,
2533,Sever Limb,,New: Added 11-12,10972,10972,,39,2533,1,,,1,,,,,,,
2534,Enfeebling Strike,,New: Added 11-12,10973,10973,,34,2534,1,,,1,,,,,,,
2535,Kiss Of Agony,,Poison: Temp Halt,10974,10974,,68,2535,1,,,1,,,,,,,
2536,Envenomed Blade,,New: Added 11-12,10975,10975,,29,2536,1,,,1,,,,,,,
2537,Heart Render Toxin,,Temp:??  Goal: AA,10976,10976,,28,2537,1,,,1,,,,,,,
2538,Wracking Pains,switched to 94 12-8,New: Added 11-12,10977,10977,,94,2538,1,,,1,,,,,,,
2539,Vehement Blades,,New: Added 11-12,10978,10978,,35,2539,1,,,1,,,,,,,
2540,Kiss Of Death,,Poison: Temp Halt,11006,11006,,28,2540,1,,,1,,,,,,,
2541,Agonizing Wound,,trying CC,10979,10979,,68,2541,1,,,1,,,,,,,
2542,Throat Slitter,,CD,5166,5166,,40,2542,1,,,1,,,,,,,
2543,Puncture,,New: Added 10-18,10980,10980,,26,2543,1,,,1,,,,,,,
2544,Treacherous Assault,,New: Added 11-12,10981,10981,,40,2544,1,,,1,,,,,,,
2545,Kiss Of Betrayal,,New: Added 11-12,10982,10982,,49,2545,1,,,1,,,,,,,
2546,Sever Blessing,,,2497,2497,,47,2546,1,,,1,,,,,,,
2547,,,,,,,99,2547,1,,,1,,,,,,,
2548,,,,,,,99,2548,1,,,1,,,,,,,
2549,,,,5203,5203,,99,2549,1,,,1,,,,,,,
2550,,,,,,,99,2550,1,,,1,,,,,,,
2551,,,,,,,99,2551,1,,,1,,,,,,,
;,;Witch Elf Spec Abilities,,,,,,99,;,1,,,1,,,,,,,
2552,Elixir of Insane Power,,Elixir: Temp brandish,10901,10901,,73,2552,1,,,1,,,,,,,
2553,Pierce Armor,,,10983,10983,,28,2553,1,,,1,,,,,,,
2554,On Your Knees!,,falling pinwheel,10984,10984,,39,2554,1,,,1,,,,,,,
2555,Elixir of Maddened Speed,,Elixir: Temp brandish,10985,10985,,73,2555,1,,,1,,,,,,,
2556,Black Lotus Blade,,Poison: Temp Halt,10986,10986,,35,2556,1,,,1,,,,,,,
2557,Witchbrew,,,10900,10900,,73,2557,1,,,1,,,,,,,
2558,Elixir of the Cauldron,,Elixir: Temp brandish,10987,10987,,73,2558,1,,,1,,,,,,,
2559,Heart Seeker,,,5203,5203,,39,2559,1,,,1,,,,,,,
2560,Sacrificial Stab,,,10994,10994,,26,2560,1,,,1,,,,,,,
2561,,,,,,,99,2561,1,,,1,,,,,,,
2562,,,,,,,99,2562,1,,,1,,,,,,,
;,;Witch Elf Tactics,,,,,,99,;,1,,,1,,,,,,,
2564,Whirling Blades,,,22712,22712,,32,2564,1,,,0,,,,,,,
2565,Increased Pain,,,22701,22701,,32,2565,1,,,0,,,,,,,
2566,Frenzied Mayhem,,,22704,22704,,32,2566,1,,,0,,,,,,,
2567,For the Hag Queen!,,,22708,22708,,32,2567,1,,,0,,,,,,,
2568,Exotic Venom,,,22709,22709,,32,2568,1,,,0,,,,,,,
2569,Taste Of Blood,,,22701,22701,,32,2569,1,,,0,,,,,,,
2570,Swift Pursuit,,,22708,22708,,32,2570,1,,,0,,,,,,,
2571,Sacrifices Rewarded,,,22702,22702,,32,2571,1,,,0,,,,,,,
2572,,,,,,,99,2572,1,,,1,,,,,,,
2573,,,,,,,99,2573,1,,,1,,,,,,,
;,;Witch Elf Specialist Tactics,,,,,,99,;,1,,,1,,,,,,,
2575,Sharpened Edge,,,22698,22698,,32,2575,1,,,0,,,,,,,
2576,Broad Severing,,,22694,22694,,32,2576,1,,,0,,,,,,,
2577,Swift Blades,,,22702,22702,,32,2577,1,,,0,,,,,,,
2578,Kiss Of Doom,,,22694,22694,,32,2578,1,,,0,,,,,,,
2579,Septic Blade,,,22701,22701,,32,2579,1,,,0,,,,,,,
2580,Enveloping Shadows,,,22706,22706,,32,2580,1,,,0,,,,,,,
2581,Swift Movements,,,22709,22709,,32,2581,1,,,0,,,,,,,
2582,Baneful Touch,,,22708,22708,,32,2582,1,,,0,,,,,,,
2583,Masterful Treachery,,,22701,22701,,32,2583,1,,,0,,,,,,,
2584,,,,,,,99,2584,1,,,1,,,,,,,
2585,,,,,,,99,2585,1,,,1,,,,,,,
2586,,,,,,,99,2586,1,,,1,,,,,,,
2587,,,,,,,99,2587,1,,,1,,,,,,,
2588,,,,,,,99,2588,1,,,1,,,,,,,
;,;Witch Elf Morale,,,,,,99,;,1,,,1,,,,,,,
2589,Dance Of Doom,,,10988,10988,,38,2589,1,,,1,,0.5,,,,,
2590,Death Reaper,,Group buff +chance to crit,10963,10963,,73,2590,1,,,1,,,,,,,
2591,Web Of Shadows,,,10990,10990,,69,2591,1,,,1,,,,,,,
2592,,,,,,,99,2592,1,,,1,,,,,,,
2593,,,,,,,99,2593,1,,,1,,,,,,,
;,;Witch Elf Specialist Morale,,,,,,99,;,1,,,1,,,,,,,
2595,Blade Spin,,,10991,10991,,34,2595,1,,,1,,,,,,,
2596,Fling Poison,,,10992,10992,,29,2596,1,,,1,,,,,,,
2597,Overwhelming Dread,,,10993,10993,,34,2597,1,,,1,,,,,,,
2598,,,,,,,99,2598,1,,,1,,,,,,,
2599,,,,,,,99,2599,1,,,1,,,,,,,
;,;Sorcerer Abilities,,,,,,99,;,1,,,1,,,,,,,
2600,Doombolt,,,10995,10995,,72,2600,1,,,1,,,,,,,
2601,Chillwind,,,10996,10996,,74,2601,1,,,1,,,,,,,
2602,Gloomburst,,,10907,10907,,71,2602,1,,,1,,,,,,,
2603,Daemonic Chill,,,11005,11005,,76,2603,1,,,1,,,,,,,
2604,Dread Aspect,,,10998,10998,,73,2604,1,,,1,,,,,,,
2605,Word Of Pain,,,10908,10908,,75,2605,1,,,1,,,,,,,
2606,Frozen Touch,,,10909,10909,,73,2606,1,,,1,,,,,,,
2607,Grip Of Fear,,,10910,10910,,76,2607,1,,,1,,,,,,,
2608,Vision Of Torment,,,10911,10911,,71,2608,1,,,1,,0.5,,,,,
2609,Arctic Blast,,,10912,10912,,74,2609,1,,,1,,,,,,,
2610,Shattered Shadows,,,10913,10913,,71,2610,1,,,1,,,,,,,
2611,Obsessive Focus,,,10914,10914,,73,2611,1,,,1,,,,,,,
2612,Frostbite,,,10915,10915,,75,2612,1,,,1,,,,,,,
2613,Surging Pain,,,10916,10916,,70,2613,1,,,1,,,,,,,
2614,Shroud Of Darkness,,,10917,10917,,70,2614,1,,,1,,,,,,,
2615,Pit Of Shades,,,10918,10918,,75,2615,1,,,1,,,,,,,
2616,Ice Spikes,,,10919,10919,,74,2616,1,,,1,,,,,,,
2617,Reckless Gathering,,,10920,10920,,76,2617,1,,,1,,,,,,,
2618,Infernal Wave,,,10921,10921,,75,2618,1,,,1,,,,,,,
2619,Stricken Voices,,,10922,10922,,71,2619,1,,,1,,0.5,,,,,
2620,Dhar Wind,,,10962,10962,,74,2620,1,,,1,,,,,,,
2621,,,,,,,99,2621,1,,,1,,,,,,,
2622,,,,,,,99,2622,1,,,1,,,,,,,
2623,,,,,,,99,2623,1,,,1,,,,,,,
2624,,,,,,,99,2624,1,,,1,,,,,,,
2625,,,,5198,5198,,99,2625,1,,,1,,,,,,,
2626,,,,5200,5200,,99,2626,1,,,1,,,,,,,
2627,;Sorcerer Spec Abilities,,,,,,99,2627,1,,,1,,,,,,,
2628,Echo Of Power,,,10923,10923,,75,2628,1,,,1,,,,,,,
2629,Cataclysmic Darkness,,,10924,10924,,72,2629,1,,,1,,,,,,,
2630,Gloom Of Night,,,10925,10925,,72,2630,1,,,1,1,,,,,,
2631,Absorb Vitality,,,10926,10926,,74,2631,1,,,1,,,,,,,
2632,Pit Of Shades,,,10927,10927,,73,2632,1,,,1,1,,,,,,
2633,Disastrous Cascade,,,10928,10928,,75,2633,1,,,1,,,,,,,
2634,Shades Of Death,,,10999,10999,,70,2634,1,,,1,,,,,,,
2635,Hand Of Ruin,,,11000,11000,,75,2635,1,,,1,,,,,,,
2636,Black Horror,,,11001,11001,,71,2636,1,,,1,,,,,,,
2637,,,,,,,99,2637,1,,,1,,,,,,,
2638,,,,,,,99,2638,1,,,1,,,,,,,
;,;Sorcerer Tactics,,,,,,99,;,1,,,1,,,,,,,
2639,Empowered Dhar,,,22712,22712,,32,2639,1,,,0,,,,,,,
2640,Infernal Gift,,,22708,22708,,32,2640,1,,,0,,,,,,,
2641,Grasping Darkness,,,22704,22704,,32,2641,1,,,0,,,,,,,
2642,Manic Obsession,,,22694,22694,,32,2642,1,,,0,,,,,,,
2643,Triumphant Blasting,,,22708,22708,,32,2643,1,,,0,,,,,,,
2644,Hastened Fear,,,22696,22696,,32,2644,1,,,0,,,,,,,
2645,Glorious Carnage,,,22704,22704,,32,2645,1,,,0,,,,,,,
2646,Umbral Fury,,,22709,22709,,32,2646,1,,,0,,,,,,,
2647,,,,,,,99,2647,1,,,1,,,,,,,
2648,,,,,,,99,2648,1,,,1,,,,,,,
2649,;Sorcerer Specialist Tactics,,,,,,99,2649,1,,,1,,,,,,,
2650,Recover Energy,,,22708,22708,,32,2650,1,,,0,,,,,,,
2651,Tapping The Dark,,,22702,22702,,32,2651,1,,,0,,,,,,,
2652,Vision Of Domination,,,22706,22706,,32,2652,1,,,0,,,,,,,
2653,Shadow Of Disaster,,,22697,22697,,32,2653,1,,,0,,,,,,,
2654,Piercing Shadows,,,22696,22696,,32,2654,1,,,0,,,,,,,
2655,Lengthening Shadows,,,22694,22694,,32,2655,1,,,0,,,,,,,
2656,Swell Of Gloom,,,22704,22704,,32,2656,1,,,0,,,,,,,
2657,Chilling Gusts,,,22704,22704,,32,2657,1,,,0,,,,,,,
2658,Neverending Agony,,,22704,22704,,32,2658,1,,,0,,,,,,,
2659,,,,,,,99,2659,1,,,1,,,,,,,
2660,,,,,,,99,2660,1,,,1,,,,,,,
2661,,,,,,,99,2661,1,,,1,,,,,,,
2662,,,,,,,99,2662,1,,,1,,,,,,,
2663,,,,,,,99,2663,1,,,1,,,,,,,
;,;Sorcerer Morale,,,,,,99,;,1,,,1,,,,,,,
2664,Dire Blast,,,10929,10929,,72,2664,1,,,1,,0.5,,,,,
2665,Wind-Woven Shell,,,10930,10930,,71,2665,1,,,1,,0.5,,,,,
2666,Darkstar Cloak,,,10931,10931,,73,2666,1,,,1,,,,,,,
2667,,,,,,,99,2667,1,,,1,,,,,,,
2668,,,,,,,99,2668,1,,,1,,,,,,,
2669,;Sorcerer Specialist Morale,,,,,,99,2669,1,,,1,,,,,,,
2670,Soul Stealer,,,10932,10932,,74,2670,1,,,1,,,,,,,
2671,Crippling Terror,,,10933,10933,,75,2671,1,,,1,,,,,,,
2672,Paralyzing Nightmares,,,10934,10934,,75,2672,1,,,1,,,,,,,
2673,,,,,,,99,2673,1,,,1,,,,,,,
2674,,,,,,,99,2674,1,,,1,,,,,,,
;,;Disciple Abilities,,,,,,99,;,1,,,1,,,,,,,
2675,Restore Essense,,,10935,10935,2s,75,2675,1,,,1,,,,,,,
2676,Flay,,,10936,10936,,29,2676,1,,,1,,,,,,,
2677,Soul Infusion,,,10937,10937,,75,2677,1,,,1,,,,,,,
2678,Lacerate,,,10938,10938,,49,2678,1,,,1,,,,,,,
2679,Cleave Soul,,,10939,10939,1s,47,2679,1,,,1,,,,,,,
2680,Consume Essence,,,10940,10960,,71,2680,1,,,1,,,,,,,
2681,Rend Soul,,,10941,10941,4s,98,2681,1,,,1,,,,,,,
2682,Terrifying Vision,,,10942,10942,,69,2682,1,,,1,,,,,,,
2683,Patch Wounds,,,10944,10943,,72,2683,1,,,1,,0.5,,,,,
2684,Khaine's Embrace,,,10945,10945,,71,2684,1,,,1,,,,,,,
2685,"Stand, Coward!",,,10946,10946,6s,75,2685,1,,,1,,,,,,,
2686,Covenant of Celerity,,,10947,10947,5s,76,2686,1,,,1,,,,,,,
2687,Consume Strength,,,10948,10948,,26,2687,1,,,1,,,,,,,
2688,Blood Offering,,,10949,10949,,76,2688,1,,,1,,,,,,,
2689,Transfer Essence,,,10961,10961,,35,2689,1,,,1,,,,,,,
2690,Covenant of Tenacity,,,10951,10951,5s,76,2690,1,,,1,,,,,,,
2691,Uncaring Dismissal,,,10952,10952,1s,35,2691,1,,,1,,,,,,,
2692,Consume Thought,,,10953,10953,,40,2692,1,,,1,,,,,,,
2693,Essence Lash,,,10954,10954,2s,33,2693,1,,,1,,,,,,,
2694,Covenant of Vitality,,,10955,10955,5s,76,2694,1,,,1,,,,,,,
2695,Fist Of Khaine,,,10934,10934,,73,2695,1,,,1,,,,,,,
2696,Consume Enchantment,,,5188,5188,,29,2696,1,,,1,,,,,,,
2697,,,,,,,99,2697,1,,,1,,,,,,,
2698,,,,0,0,,99,2698,1,,,1,,,,,,,
2699,;Disciple Spec Abilities,,,,,,99,2699,1,,,1,,,,,,,
2700,Khaine's Vigor,,,10956,10956,,99,2700,1,,,1,,,,,,,
2701,Soul Shielding,,,10957,10957,,71,2701,1,,,1,,0.5,,,,,
2702,Fell Sacrifice,,,10950,10950,,76,2702,1,,,1,,,,,,,
2703,Wracking Agony,,,10959,10959,,47,2703,1,,,1,,,,,,,
2704,Warding Strike,,,10960,10960,2s,40,2704,1,,,1,,,,,,,
2705,Devour Essence,,,10958,10958,,73,2705,1,,,1,,,,,,,
2706,Khaine's Refreshment,,,11002,11002,1s,74,2706,1,,,1,,,,,,,
2707,Sanguinary Extension,,switched to 94 12-18,11003,11003,,94,2707,1,,,1,,,,,,,
2708,Pillage Essence,,,11004,11004,,39,2708,1,,,1,,,,,,,
2709,,,,,,,99,2709,1,,,1,,,,,,,
;,;Disciple Tactics,,,,,,99,;,1,,,1,,,,,,,
2710,Restored Motivation,,,22709,22709,,32,2710,1,,,0,,,,,,,
2711,Persistent Rending,,,22708,22708,,32,2711,1,,,0,,,,,,,
2712,Bleed Out,,,22694,22694,,32,2712,1,,,0,,,,,,,
2713,Curse Of Khaine,,,22706,22706,,32,2713,1,,,0,,,,,,,
2714,Khaine's Blessing,,,22702,22702,,32,2714,1,,,0,,,,,,,
2715,Transferred Focus,,,22706,22706,,32,2715,1,,,0,,,,,,,
2716,Potent Covenants,,,22694,22694,,32,2716,1,,,0,,,,,,,
2717,Siphoned Consumption,,,22706,22706,,32,2717,1,,,0,,,,,,,
2718,,,,,,,99,2718,1,,,1,,,,,,,
2719,,,,,,,99,2719,1,,,1,,,,,,,
2720,;Disciple Specialist Tactics,,,147,147,,99,2720,1,,,1,,,,,,,
2721,Khaine's Bounty,,,22702,22702,,32,2721,1,,,0,,,,,,,
2722,Bound by Blood,,,22706,22706,,32,2722,1,,,0,,,,,,,
2723,Murderous Intent,,,22704,22704,,32,2723,1,,,0,,,,,,,
2724,Bloodthirst,,,22709,22709,,32,2724,1,,,0,,,,,,,
2725,Horrifying Offering,,,22708,22708,,32,2725,1,,,0,,,,,,,
2726,Empowered Transfer,,,22706,22706,,32,2726,1,,,0,,,,,,,
2727,Fueled Actions,,,22708,22708,,32,2727,1,,,0,,,,,,,
2728,Khaine's Imbuement,,,22708,22708,,32,2728,1,,,0,,,,,,,
2729,Gift of Khaine,,,22712,22712,,32,2729,1,,,0,,,,,,,
;,;Disciple Morale,,,,,,99,;,1,,,1,,,,,,,
2730,Life's End,,Group Buff heal,10962,10962,,71,2730,1,,,1,,0.5,,,,,
2731,Universal Confusion,,PBAE stun,10963,10963,,70,2731,1,,,1,,,,,,,
2732,Khaine's Withdrawal,,,10989,10989,,73,2732,1,,,1,,,,,,,
2733,,,,,,,99,2733,1,,,1,,,,,,,
2734,,,,,,,99,2734,1,,,1,,,,,,,
2735,,,,,,,99,2735,1,,,1,,,,,,,
2736,,,,,,,99,2736,1,,,1,,,,,,,
2737,,,,,,,99,2737,1,,,1,,,,,,,
2738,,,,,,,99,2738,1,,,1,,,,,,,
2739,,,,,,,99,2739,1,,,1,,,,,,,
2740,;Disciple Specialist Morale,,,,,,99,2740,1,,,1,,,,,,,
2741,Thousand and One Dark Blessings,,,10965,10965,,73,2741,1,,,1,,,,,,,
2742,Vision of Torment,,,10966,10966,,70,2742,1,,,1,,,,,,,
2743,Chant of Pain,,,10967,10967,,71,2743,1,,,1,,0.5,,,,,
2744,,,,,,,99,2744,1,,,1,,,,,,,
2745,,,,,,,99,2745,1,,,1,,,,,,,
2746,,,,,,,99,2746,1,,,1,,,,,,,
2747,,,,,,,99,2747,1,,,1,,,,,,,
2748,,,,,,,99,2748,1,,,1,,,,,,,
2749,,,,,,,99,2749,1,,,1,,,,,,,
;,;/end Careers,,,,,,99,;,1,,,1,,,,,,,
;,;Begin Extra,,,,,,99,;,1,,,1,,,,,,,
;,;Potion Effects,,,,,,99,;,1,,,1,,,,,,,
2750,Healing Potion,,,452,452,,112,2750,0,,,1,,,,,,,
2751,Restoration Potion,,,476,476,,112,2751,0,,,1,,,,,,,
2752,Ap Restore Potion,,,519,519,,112,2752,0,,,1,,,,,,,
2753,Damage Absorb potion,,,512,512,,112,2753,0,,,1,,,,,,,
2754,Strength buff,,,488,488,,112,2754,0,,,1,,,,,,,
2755,Intelligence buff,,,508,508,,112,2755,0,,,1,,,,,,,
2756,Ballistics buff,,,448,448,,112,2756,0,,,1,,,,,,,
2757,Toughness buff,,,428,428,,112,2757,0,,,1,,,,,,,
2758,Spirit buff,,,440,440,,112,2758,0,,,1,,,,,,,
2759,Elemental buff,,,488,488,,112,2759,0,,,1,,,,,,,
2760,Corporeal buff,,,464,464,,112,2760,0,,,1,,,,,,,
2761,Armor buff,,,500,500,,112,2761,0,,,1,,,,,,,
2762,Thorns,,,452,452,,112,2762,0,,,1,,,,,,,
2763,Molotov,,,472,472,,112,2763,0,,,1,,,,,,,
2764,Napalm,,,464,464,,112,2764,0,,,1,,,,,,,
2765,Glue,,,212,212,,112,2765,0,,,1,,,,,,,
2766,Breath,,,488,488,,112,2766,0,,,1,,,,,,,
